"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
1,1000,1,0
2,1001,1,0
3,1002,7,6.56470744431203e-09
4,1003,5,9.80245254281753e-05
5,1004,3,2.56271559528898e-09
6,1005,1,0
7,1006,2,3.21735749153618e-10
8,1007,6,1.69715975606444e-07
9,1008,8,1.01524788576057e-10
10,1009,8,0
11,1010,5,9.80245254281753e-05
12,1011,2,3.21735749153618e-10
13,1012,6,1.69715975606444e-07
14,1013,2,3.21735749153618e-10
15,1014,6,1.03388471633936e-05
16,1015,4,0.00329803087771141
17,1016,1,0
18,1017,6,1.69715975606444e-07
19,1018,7,0.00703142527624001
20,1019,1,0
21,1020,7,1.66954361446869e-09
22,1021,1,0
23,1022,4,0.000159484349893435
24,1023,1,0
25,1024,3,2.56271559528898e-09
26,1025,2,3.21735749153618e-10
27,1026,1,0
28,1027,5,9.80245254281753e-05
29,1028,5,2.97127920156903e-05
30,1029,2,3.21735749153618e-10
31,1030,2,3.21735749153618e-10
32,1031,2,3.21735749153618e-10
33,1032,6,1.03388471633936e-05
34,1033,5,9.80245254281753e-05
35,1034,7,1.66954361446869e-09
36,1035,7,0.00703142527624001
37,1036,6,1.03388471633936e-05
38,1037,4,0.00329803087771141
39,1038,3,2.56271559528898e-09
40,1039,5,2.97127920156903e-05
41,1040,4,0.00329803087771141
42,1041,4,0.000159484349893435
43,1042,2,3.21735749153618e-10
