"Collector.Collection.Number","Vivas.2","Phenotypic.Group"
1000,0,1
1001,0,1
1002,13,2
1003,5,3
1004,2,1
1005,0,1
1006,1,1
1007,8,3
1008,20,2
1009,23,2
1010,5,3
1011,1,1
1012,8,3
1013,1,1
1014,9,3
1015,4,3
1016,0,1
1017,8,3
1018,11,3
1019,0,1
1020,14,2
1021,0,1
1022,3,3
1023,0,1
1024,2,1
1025,1,1
1026,0,1
1027,5,3
1028,6,3
1029,1,1
1030,1,1
1031,1,1
1032,9,3
1033,5,3
1034,14,2
1035,11,3
1036,9,3
1037,4,3
1038,2,1
1039,6,3
1040,4,3
1041,3,3
1042,1,1
