"Collector.Collection.Number","Vivas.3","Phenotypic.Group"
1000,0,1
1001,0,1
1002,11,2
1003,3,1
1004,1,1
1005,0,1
1006,1,1
1007,8,2
1008,16,2
1009,22,2
1010,4,1
1011,1,1
1012,5,2
1013,1,1
1014,7,2
1015,3,1
1016,0,1
1017,7,2
1018,11,2
1019,0,1
1020,11,2
1021,0,1
1022,1,1
1023,0,1
1024,1,1
1025,0,1
1026,0,1
1027,5,2
1028,4,1
1029,0,1
1030,1,1
1031,1,1
1032,6,2
1033,3,1
1034,10,2
1035,10,2
1036,7,2
1037,2,1
1038,2,1
1039,4,1
1040,3,1
1041,2,1
1042,1,1
