"Collector.Collection.Number","Vivas.1","Phenotypic.Group"
1000,0,3
1001,1,3
1002,13,1
1003,7,2
1004,2,3
1005,0,3
1006,1,3
1007,9,2
1008,22,1
1009,24,1
1010,5,2
1011,1,3
1012,8,2
1013,1,3
1014,9,2
1015,4,2
1016,0,3
1017,8,2
1018,11,2
1019,0,3
1020,15,1
1021,0,3
1022,3,3
1023,0,3
1024,3,3
1025,1,3
1026,1,3
1027,5,2
1028,7,2
1029,1,3
1030,1,3
1031,1,3
1032,8,2
1033,5,2
1034,16,1
1035,12,2
1036,10,2
1037,5,2
1038,2,3
1039,6,2
1040,4,2
1041,4,2
1042,1,3
