"Rownames.Meanphenodata","Collector.Collection.Number","Longitude","Latitude","Altitude","Phenotypic.Group","Uncertainty","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
1,"YAM_073",-74.34472,3.82612,3883,1,0.000215145765011249,2.23212245832235,0.684184133180585,-0.291007191814238,-0.623257894149631,-0.220789767039865,-0.00440279518997723,-0.454418656081101,0.113314290606585,0.147851648659819,0.190310003747273,-0.223940115784018,0.0014585397490015
3,"YAM_075",-74.34859,3.80665,3883,2,5.70263956456429e-06,-0.21673839732426,-0.182642675722604,-0.657921145412138,-0.0400949565877245,0.241346580889567,-0.235919124426145,-0.239863299712204,-0.0160065586829909,-0.0931086648087524,0.0481521278954821,-0.141944108523952,-0.0104283419956764
4,"YAM_076",-74.34895,3.80665,3884,2,0.00116123076675601,-0.0730920879267003,0.132633004532312,-0.16164918029537,-0.195214606973651,-0.194809718702565,-0.0918389222999452,-0.139369083472405,0.102893716857048,0.109841236038866,0.136875040339473,0.0337174507893542,0.146150171056512
5,"YAM_077",-74.34895,3.80665,3884,2,0.000737883996496658,-0.788637658441778,0.305256986607519,-0.0260950708073318,-0.198154115527794,-0.187116545664226,-0.131100676887549,-0.416704941556044,0.329423334500491,-0.0138129432008539,-0.166633934847578,-0.0905502756103165,0.0693824534236846
6,"YAM_078",-74.35671,3.81611,3774,4,0.0245612557432057,-1.17227636050225,1.5302399430558,-1.96298369201813,0.309522253313905,-0.853373613923087,-0.24876283447791,-0.315682028868533,0.269359804910519,0.252718497281682,-0.307174795051059,0.0880998696828564,0.0951454340845843
7,"YAM_079",-74.37349,3.82578,3461,3,1.62082811872022e-06,-1.11610334101773,0.684848886277223,0.75095052955035,-0.0961451618348877,0.148962226559849,0.127654470651322,-0.00922306969282856,0.0795802032578185,-0.0566284634000892,0.0336248651548701,0.0308961607722873,0.18255646504096
9,"YAM_081",-74.18656,4.24432,3532,2,0.000236450994205328,-0.262201015084828,0.153641863020186,-0.100345016153993,-0.436914891196302,-0.0238764885503299,-0.0742244714604901,-0.190552133572248,-0.157947207855436,0.152174857454273,0.0616191060353614,0.135363665094263,0.0753075387194276
16,"YAM_088",-74.17425,4.21738,3470,2,0.00139200448522547,-0.276230990991414,0.0417927090944312,0.0387852895899056,-0.846287120466442,0.354488072152459,-0.0425055219184145,0.103820091199759,-0.0640356838622606,0.0104922175014129,0.031991049381472,-0.0347750138093621,0.0753861328387255
18,"YAM_090",-74.17419,4.21742,3472,4,3.6587041134073e-05,-1.43132353645562,1.33363310281035,-0.978380132778889,-1.03985112763552,-0.301688017921864,-0.585579980794573,0.441226093796177,0.440966877581541,0.0178786342718885,-0.205257185184397,0.124044687351354,-0.106219613075552
19,"YAM_091",-74.17408,4.21745,3469,2,0.0137069388810733,-1.69682615865541,0.809031015497554,-0.633440598151779,-0.582674388462323,-0.276401322687234,-0.435403720904045,0.254132895420962,0.0716740305226622,-0.0640370866773979,-0.37533276917033,-0.0230955909155366,0.0244074406485936
27,"YAM_099",-74.17544,4.21974,3485,4,2.43983992288532e-05,-0.924387478088419,0.684757010154376,-0.93761679214424,-1.62631218116964,-0.107442534980978,-0.322825986623864,0.668849444240735,-0.173214086197717,-0.0401880615181443,0.225294007587378,0.161061173048893,-0.026958438699809
77,"YAM_146",-74.18771,4.24129,3515,2,1.90682651668439e-07,-0.787779655543868,-0.0488092310661564,-0.370624862956269,0.338456678327217,0.585426708179291,0.0107377552684021,-0.249082589877774,-0.391858104050655,0.306333414483712,0.238160998920176,-0.127867531613318,-0.162771509822379
83,"YAM_152",-74.18391,4.22064,3624,2,0.0031566310586687,-0.383717197396235,0.299285092253181,-0.404750872307265,-0.222954241033101,0.0262075674445355,0.28497672823589,0.194837985090589,0.106254420926624,0.177319315405737,-0.133663538485205,0.0109819033267663,0.07457273662188
87,"YAM_156",-74.1839,4.22054,3600,4,0.00390304682597464,-1.64614462016757,1.17279083193377,-0.55388243682305,-0.43315977422236,-0.216609615037322,-0.083336886103333,0.544088607287423,0.359678182742243,0.133346506152459,-0.342561451337413,-0.0567015575129957,0.0353159521109285
88,"YAM_157",-74.1839,4.22054,3600,4,0.114302448984533,-0.678721109675328,0.145989028618978,-0.346073513101819,-0.87574341942627,-0.250865699319093,-0.024155258570902,0.0485169044305219,-0.114183789370425,-0.429517082175826,0.160199145190337,-0.124821501340598,-0.0326720801327949
95,"YAM_164",-74.2008,4.22318,3796,2,7.54769706734493e-08,0.103368800033916,0.0118998118875994,-1.03954668612302,-0.156175091554852,-0.0572477956481621,0.431021142333279,0.111871178068484,-0.403724080667245,0.266690225138158,-0.172755742786997,0.155468361577293,0.0340511186260705
97,"YAM_166",-74.20095,4.22313,3784,2,1.62576935824887e-06,0.102693278044868,-0.609020313228677,-0.270240657467154,-0.12162338590864,0.0143645484197552,0.125975150527782,-0.0443532827611644,-0.118758158103035,0.202059168542914,0.193450564715979,-0.130863521345753,-0.0778887948807658
