"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
1,"YAM_073",1,4.62608024265343e-06
3,"YAM_075",3,0.0578289563504106
4,"YAM_076",6,0.00180805226829817
5,"YAM_077",6,0.00337236162234877
6,"YAM_078",4,0.0057599982278369
7,"YAM_079",5,1.01975472510674e-09
9,"YAM_081",6,0.000887157667266436
16,"YAM_088",6,0.00618464447464007
18,"YAM_090",4,2.93098878501041e-14
19,"YAM_091",4,8.67717615538055e-08
27,"YAM_099",4,3.89041043824534e-09
77,"YAM_146",7,3.06854946536816e-05
83,"YAM_152",2,0.0138314945173797
87,"YAM_156",4,1.89870341671394e-12
88,"YAM_157",4,0.180611860459306
95,"YAM_164",7,7.74966465583171e-05
97,"YAM_166",7,0.0818399468195349
107,"YAM_176",2,2.06027459187519e-05
109,"YAM_178",3,0.00121320236065436
115,"YAM_181",4,0.000551216334292559
118,"YAM_183",7,0.0023172488301263
119,"YAM_184",6,0.00105166653050803
121,"YAM_186",4,1.12576614696991e-13
125,"YAM_190",6,0.000315785668032809
126,"YAM_191",6,0.0272007862168668
128,"YAM_193",2,3.37732041222338e-08
130,"YAM_195",7,3.9147451718291e-05
132,"YAM_197",3,0.486254399433322
134,"YAM_199",8,0.0895870999712769
136,"YAM_201",9,1.0586116427902e-09
139,"YAM_204",2,0.0581343959994586
142,"YAM_207",6,0.000415614954584642
153,"YAM_218",6,0.000196857829109276
155,"YAM_220",9,4.12418055262265e-09
157,"YAM_222",6,0.00814365981171705
173,"YAM_238",6,1.60673282832979e-05
181,"YAM_246",6,0.00931773067249164
182,"YAM_247",7,0.142981752095493
186,"YAM_251",8,0.0706421224028764
188,"YAM_253",2,0.00902803174930367
190,"YAM_255",7,0.0115352212086882
194,"YAM_259",9,1.59007029765235e-10
195,"YAM_260",9,7.88604292978334e-10
198,"YAM_263",5,5.22619435083804e-06
222,"YAM_287",3,0.0151196364310849
223,"YAM_288",8,0.136054242612708
225,"YAM_290",6,0.00126739303100254
227,"YAM_292",6,0.000193324335533651
229,"YAM_294",7,0.00965708535926302
230,"YAM_295",8,0.00661420505193167
231,"YAM_296",8,7.8143335698222e-05
233,"YAM_298",8,5.02863643392359e-06
238,"YAM_303",6,6.4893499907015e-08
239,"YAM_304",3,0.00027937876922679
241,"YAM_306",3,0.00439349204856365
243,"YAM_308",2,0.0355162616474418
245,"YAM_310",3,0.00255305566021213
247,"YAM_312",5,0.00449869858356655
249,"YAM_314",5,6.89294947353591e-06
251,"YAM_316",4,0.0126163257866149
256,"YAM_321",8,3.23404250093251e-05
258,"YAM_323",6,0.00438737303547987
260,"YAM_325",6,0.158144136806723
263,"YAM_328",2,0.00955374971654888
266,"YAM_331",9,1.2656227621477e-06
272,"YAM_337",2,0.0021702860040399
273,"YAM_338",5,1.09409129089855e-07
286,"YAM_351",5,5.79364211050759e-08
288,"YAM_353",5,6.61377781430161e-08
290,"YAM_355",8,1.51128073455631e-06
291,"YAM_356",5,2.56504022910775e-07
299,"YAM_364",6,3.76809061746197e-05
313,"YAM_378",5,1.01887628087827e-05
317,"YAM_382",9,1.60958236739006e-08
318,"YAM_383",1,2.02836441753895e-07
322,"YAM_387",5,0.00673764993231352
323,"YAM_388",6,0.0560577646055321
324,"YAM_389",9,0.010261716714169
329,"YAM_394",6,0.00159889626132093
331,"YAM_396",6,0.000531023238717343
340,"YAM_405",5,3.55883996956408e-05
345,"YAM_410",9,1.22276349090455e-06
346,"YAM_411",7,0.00429021217185821
347,"YAM_412",8,0.0645339911059272
348,"YAM_413",5,0.000902195596537481
349,"YAM_414",5,0.000120486856265645
350,"YAM_415",9,5.30672709750935e-05
351,"YAM_416",6,0.000167854491057828
352,"YAM_417",6,0.000434192018873403
353,"YAM_418",5,0.00697278643998311
355,"YAM_420",3,0.12510221002379
403,"YAM_468",5,0.00500299523908121
422,"YAM_487",5,4.53319264648311e-06
432,"YAM_497",5,0.00074979534460462
441,"YAM_506",1,1.91260671078552e-06
446,"YAM_511",6,0.000695487653413318
454,"YAM_519",5,5.98859439205901e-05
456,"YAM_521",5,2.45989816430869e-05
460,"YAM_525",2,0.0045554850639099
470,"YAM_535",1,0.000292222893675254
473,"YAM_538",9,0.00203766958858453
479,"YAM_544",3,0.0206771746089315
480,"YAM_545",8,0.00330499884464275
481,"YAM_546",9,2.45837861490017e-06
484,"YAM_549",3,0.452938772348789
485,"YAM_550",6,0.00810016850137674
496,"YAM_561",6,0.0084069680137997
536,"YAM_601",1,0.000325305719942048
537,"YAM_602",3,0.000466397432624999
538,"YAM_603",5,6.09437502574472e-07
541,"YAM_606",5,1.88998624195413e-07
544,"YAM_609",5,5.90174922588949e-05
548,"YAM_613",5,4.1667171779558e-06
550,"YAM_615",5,1.08801856413265e-14
554,"YAM_619",4,0.00219283731441033
555,"YAM_620",4,0
568,"YAM_633",5,2.43582026659972e-07
573,"YAM_638",5,2.58479373369536e-05
579,"YAM_644",5,2.48287083659537e-06
581,"YAM_646",6,0.00401686515054955
585,"YAM_650",8,0.0439373284315455
630,"YAM_685",9,1.94776261785989e-09
631,"YAM_686",5,5.16230780760463e-05
635,"YAM_690",5,1.43505920233711e-05
639,"YAM_694",9,0.00075015693983127
651,"YAM_706",8,0.0581338148707351
652,"YAM_707",7,0.0301172245269361
654,"YAM_709",5,3.48560262402042e-05
658,"YAM_713",5,9.40010564609572e-07
662,"YAM_717",9,8.6795428400066e-08
664,"YAM_719",8,0.190830352311084
666,"YAM_721",8,0.00817796888162658
667,"YAM_722",9,2.79593071981221e-05
669,"YAM_724",5,1.87486685510052e-07
671,"YAM_726",5,2.47019391164116e-07
676,"YAM_731",3,0.00103601423018851
679,"YAM_734",2,0.017933870259315
682,"YAM_737",8,0.0920202483405616
683,"YAM_738",8,0.187471083903366
687,"YAM_742",8,0.0327021221847948
689,"YAM_744",8,1.98920786552703e-05
690,"YAM_745",8,2.29455503522047e-05
691,"YAM_746",5,0.00669482388624065
693,"YAM_748",6,0.00607997811635674
694,"YAM_749",2,4.45409361173876e-05
695,"YAM_750",5,5.78161756570328e-06
696,"YAM_751",8,3.79283255003138e-06
698,"YAM_753",5,3.66029428988668e-11
700,"YAM_755",5,2.20214725543677e-06
702,"YAM_757",5,4.60094629062269e-10
706,"YAM_761",5,8.14721179409617e-10
719,"YAM_774",5,2.06418895309923e-08
721,"YAM_776",6,0.330666026597053
727,"YAM_782",5,1.33258420964566e-08
733,"YAM_788",8,0.00447996078707014
734,"YAM_789",8,0.002747612798082
737,"YAM_792",5,2.09800873562926e-07
740,"YAM_795",5,2.165826671785e-06
742,"YAM_797",6,0.0435251723336276
748,"YAM_803",5,7.0333476106299e-05
749,"YAM_804",6,0.0507333996230319
750,"YAM_805",6,0.000238467388008368
751,"YAM_806",5,1.75979921736014e-05
752,"YAM_807",5,0.00180138378503869
753,"YAM_808",8,0.0213521792067296
757,"YAM_812",9,1.8160114856336e-08
759,"YAM_814",1,0.00079600857915374
765,"YAM_820",1,0.000114273991767222
767,"YAM_822",8,0.066273383415836
768,"YAM_823",1,0.000170734671539718
769,"YAM_824",1,4.52098615988383e-07
770,"YAM_825",1,0.000374043044330419
771,"YAM_826",8,0.00242687191783941
773,"YAM_828",8,0.0848319550579358
775,"YAM_830",6,0.0304017721277841
776,"YAM_831",9,1.17079778612084e-05
779,"YAM_834",4,2.22044604925031e-16
780,"YAM_835",3,0.191221506792588
781,"YAM_836",4,8.56169038698784e-06
783,"YAM_838",3,0.034470826519047
785,"YAM_840",9,1.94492113525513e-08
786,"YAM_841",5,8.52618934976679e-05
787,"YAM_842",9,0.000426278722000739
791,"YAM_846",5,3.69327455285173e-08
793,"YAM_848",8,2.67106613233148e-05
794,"YAM_849",8,8.2155660292571e-06
795,"YAM_850",8,4.59705964406254e-08
796,"YAM_851",8,0.00113456704300841
797,"YAM_852",5,8.66282130473905e-08
798,"YAM_853",8,0.0087595650334803
799,"YAM_854",8,0.0548024960319196
800,"YAM_855",8,4.36388405806731e-05
801,"YAM_856",8,1.48641273342021e-05
802,"YAM_857",4,3.44476935865146e-09
804,"YAM_859",4,7.31237451256916e-07
805,"YAM_860",4,2.18714828567057e-05
806,"YAM_861",5,2.03776946428036e-08
807,"YAM_862",4,0.0741230659356917
809,"YAM_864",1,5.15657101862743e-06
810,"YAM_865",1,0.0543218024004606
811,"YAM_866",1,1.0705547559553e-10
812,"YAM_867",1,8.64933293320824e-07
813,"YAM_868",1,2.22497575919078e-11
814,"YAM_869",1,5.77443405980205e-07
815,"YAM_870",1,7.74801628611321e-06
816,"YAM_871",3,0.000239647186902059
817,"YAM_872",8,9.84593304442782e-07
818,"YAM_873",5,8.65061977606274e-09
819,"YAM_874",3,0.0894415489186245
820,"YAM_875",3,6.44921485349892e-05
821,"YAM_876",6,0.000598713577727783
822,"YAM_877",9,1.16628826152265e-07
823,"YAM_878",3,0.049972836588339
824,"YAM_879",3,0.116500501930724
825,"YAM_880",3,0.0163612649848586
826,"YAM_881",3,0.00341578427189504
827,"YAM_882",9,3.18898903580722e-05
828,"YAM_883",9,9.79820224955574e-10
829,"YAM_884",3,0.089965689005487
830,"YAM_885",3,6.82102186347899e-05
831,"YAM_886",3,0.000238353187275053
832,"YAM_887",3,0.00496042812323771
833,"YAM_888",3,2.07787837158691e-07
834,"YAM_889",3,0.0218729017468106
835,"YAM_890",9,0.000150242201721329
836,"YAM_891",5,0.00308433885706527
837,"YAM_892",2,0.0124655525497834
838,"YAM_893",6,0.0426766760937753
839,"YAM_894",9,0.148765930943075
840,"YAM_895",9,8.85080938290983e-05
841,"YAM_896",6,0.000147141313506682
842,"YAM_897",9,1.33878166705959e-05
843,"YAM_898",9,0.0410066142066791
