"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
702,"YAM_757",3,2.40468846568476e-06
706,"YAM_761",3,3.34205900709428e-06
719,"YAM_774",3,4.29050447281476e-06
721,"YAM_776",2,0.000493045007741721
727,"YAM_782",3,1.99398902189785e-05
733,"YAM_788",2,0.0139747592137667
734,"YAM_789",2,3.7886243137164e-06
737,"YAM_792",3,2.28797660647428e-05
740,"YAM_795",3,0.000601358145710162
742,"YAM_797",2,9.46752029371556e-05
748,"YAM_803",3,5.28437170732587e-06
749,"YAM_804",2,0.000336068317016935
750,"YAM_805",2,3.68039046642066e-05
751,"YAM_806",3,3.40467215598217e-05
752,"YAM_807",3,0.000256405015071293
753,"YAM_808",2,0.000106987266881631
757,"YAM_812",5,1.70568562718465e-07
759,"YAM_814",1,0.00365075290053207
765,"YAM_820",1,0.00833522805565257
767,"YAM_822",2,8.35622717687556e-08
768,"YAM_823",1,0.0015195670925805
769,"YAM_824",1,6.23949909570598e-05
770,"YAM_825",1,0.00149638495569204
771,"YAM_826",2,6.02407649907821e-06
773,"YAM_828",2,0.00548310172370692
775,"YAM_830",2,0.000624343313774256
776,"YAM_831",5,3.07625748170448e-05
779,"YAM_834",4,2.18113038741308e-09
780,"YAM_835",2,3.69341218555697e-05
781,"YAM_836",4,0.0535371798036826
783,"YAM_838",2,8.44193991911268e-06
785,"YAM_840",5,2.21970901427282e-05
786,"YAM_841",3,0.00079442168937971
787,"YAM_842",5,0.00390674905157218
791,"YAM_846",3,2.35115688052012e-06
793,"YAM_848",2,5.10171371104207e-06
794,"YAM_849",2,1.05877277655209e-05
795,"YAM_850",2,0.000315208716566762
796,"YAM_851",2,0.000352480165098479
797,"YAM_852",3,3.11720002967864e-05
798,"YAM_853",2,1.53528082469379e-08
799,"YAM_854",2,0.000573998217456628
800,"YAM_855",2,1.43694502737768e-05
801,"YAM_856",2,0.00129568132308711
802,"YAM_857",4,0.00620149082145593
804,"YAM_859",4,0.0131585642176738
805,"YAM_860",4,0.0351381935581672
806,"YAM_861",3,1.62127898639675e-06
807,"YAM_862",4,0.188411765342719
809,"YAM_864",1,2.54953863156882e-05
810,"YAM_865",1,0.00251598062088854
811,"YAM_866",1,8.12853435672167e-07
812,"YAM_867",1,7.63025355032809e-06
813,"YAM_868",1,1.56277760732237e-08
814,"YAM_869",1,0.000201431252303541
815,"YAM_870",1,2.93405932033641e-05
