"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
702,"YAM_757",4,2.98198508608127e-06
706,"YAM_761",4,6.65741103356154e-07
719,"YAM_774",4,1.38767501565162e-05
721,"YAM_776",2,0.00116105994829541
727,"YAM_782",4,1.40060073924309e-05
733,"YAM_788",2,0.0110198598898521
734,"YAM_789",2,0.000452642445062046
737,"YAM_792",4,1.57520039025805e-05
740,"YAM_795",4,0.000265213814504617
742,"YAM_797",2,0.00267717908071574
748,"YAM_803",4,3.15673463366917e-05
749,"YAM_804",2,6.83753755836847e-08
750,"YAM_805",2,1.11708034593594e-05
751,"YAM_806",4,2.94900730780645e-05
752,"YAM_807",4,0.000220566797687449
753,"YAM_808",2,3.96787073386751e-06
757,"YAM_812",6,1.18252531122742e-06
759,"YAM_814",1,0.0303296431270236
765,"YAM_820",1,0.00386436114554711
767,"YAM_822",2,0.000690413568457005
768,"YAM_823",1,0.000323500784164543
769,"YAM_824",1,1.47145548542449e-05
770,"YAM_825",1,0.00189045726297987
771,"YAM_826",2,0.00258083663986142
773,"YAM_828",2,0.000156975973221618
775,"YAM_830",2,5.55240276534086e-07
776,"YAM_831",6,3.04706750537953e-05
779,"YAM_834",3,0
780,"YAM_835",2,0.000127701505979183
781,"YAM_836",3,5.21576155265713e-07
783,"YAM_838",2,8.7453522568115e-07
785,"YAM_840",6,3.49146712097514e-07
786,"YAM_841",4,0.000512894136669106
787,"YAM_842",6,0.00217244199612587
791,"YAM_846",4,1.5397708883591e-05
793,"YAM_848",5,0.000404727447486763
794,"YAM_849",5,1.396918840324e-05
795,"YAM_850",5,0.026357264170444
796,"YAM_851",5,0.00327620980165577
797,"YAM_852",4,3.77794198866965e-05
798,"YAM_853",5,0.00152700066826372
799,"YAM_854",5,0.00574847556650049
800,"YAM_855",5,0.0049689924988211
801,"YAM_856",5,0.000503094715763375
802,"YAM_857",3,5.83269543774634e-09
804,"YAM_859",3,5.59519671091691e-05
805,"YAM_860",3,5.4500387716705e-05
806,"YAM_861",4,1.25874414158567e-06
807,"YAM_862",3,2.52691088664658e-05
809,"YAM_864",1,6.67358900596771e-06
810,"YAM_865",1,0.0062175150872722
811,"YAM_866",1,2.25541163523246e-09
812,"YAM_867",1,5.27770322333865e-07
813,"YAM_868",1,8.69304628281498e-13
814,"YAM_869",1,0.000116454453049308
815,"YAM_870",1,2.46023712502375e-06
816,"YAM_871",2,1.10565226975057e-05
817,"YAM_872",5,4.39999050749762e-07
818,"YAM_873",4,7.71389095932662e-08
819,"YAM_874",2,0.00189054749405193
820,"YAM_875",2,5.45686990394145e-06
821,"YAM_876",2,6.70068096719767e-06
822,"YAM_877",6,1.01033780453008e-07
823,"YAM_878",2,0.000522113751250552
824,"YAM_879",2,0.0015724948722099
825,"YAM_880",2,0.00220808162030894
826,"YAM_881",2,0.0340823371377584
827,"YAM_882",6,1.8200809684954e-06
828,"YAM_883",6,1.31719923857077e-09
829,"YAM_884",5,0.169434412756168
830,"YAM_885",2,0.00376706392025639
831,"YAM_886",5,0.219223996520474
832,"YAM_887",5,0.306902425369123
833,"YAM_888",2,0.000211766587468021
834,"YAM_889",2,0.000173993160026309
835,"YAM_890",6,4.47800401759402e-07
836,"YAM_891",4,0.00332417761240267
837,"YAM_892",2,1.31341362673565e-05
838,"YAM_893",2,0.0108098027224586
839,"YAM_894",6,0.00284079591920094
840,"YAM_895",6,4.34175370211953e-07
841,"YAM_896",2,0.00247882326121873
842,"YAM_897",6,1.43323375378923e-06
843,"YAM_898",6,0.0012569912841357
844,"YAM_899",6,1.0180765641632e-07
845,"YAM_900",6,1.24763903741609e-06
846,"YAM_901",6,1.24551683607921e-05
847,"YAM_902",2,0.0117759409007187
848,"YAM_903",2,0.00292659294444619
849,"YAM_904",4,0.00443644696982481
850,"YAM_905",2,0.186298661974105
851,"YAM_906",2,2.0963742801805e-05
852,"YAM_907",3,0
853,"YAM_908",2,2.08793558345022e-05
854,"YAM_909",2,6.65051274918449e-05
867,"Vergara_8",3,5.70876163008549e-08
870,"Cuatrecasas_27070",3,0.000236028526820142
874,"Idrobo & Hernandez_2756",2,2.49600306090336e-07
877,"Cleef_8301",2,0.000290579943911129
880,"Betancur_8093",2,0.00143522713376909
882,"Uribe_5537",2,0.00665550340717547
885,"Uribe_4505",2,0.0581137731526685
893,"Garcia-Barriga_17193",2,8.54692344232078e-07
910,"Cuatrecasas_5517",2,0.0177142603646261
911,"Garcia-Barriga_8103",5,0.00641213747918878
912,"Cuatrecasas et al_25567",2,0.0556459278038405
913,"Uribe_2473",5,0.000151318169844261
916,"Humbert et al._26849",5,4.18678370084358e-07
919,"Garcia-Barriga_13390",2,0.00945840017492927
928,"Barclay & Juajibioy_6137",6,4.52644127731938e-05
934,"Fernandez & Jaramillo_1486",6,3.57002978235155e-06
938,"Uribe_6786",6,8.38963256644121e-08
943,"Barclay et al._3258",6,3.03020965093381e-05
945,"Humbert et al._26904",6,0.000107119103503694
953,"Dugang_2965",6,0.000153975076908841
958,"Garcia-Barriga_17392",6,0.000252252005429221
959,"Cleff_1575",1,7.54223838667079e-05
961,"Cleff_1573",1,0.156105060883581
962,"Diaz et. al_2873",3,0
965,"Uribe_7033",1,4.30254187522294e-06
966,"Cuatrecasas & Jaramillo_28785",1,6.00822719595273e-05
967,"Cuatrecasas & Jaramillo_28789",1,0.0141202600845011
968,"Garcia-Barriga_8117",6,0.000104972175967388
970,"Uribe & Jaramillo_6895",1,0.00018503480765808
973,"Cuatrecasas_9527-A",2,0.000253515744835342
974,"Cuatrecasas_9527",2,0.199997809369527
980,"Cuatrecasas & Jaramillo_25908",3,0
981,"LATP_010",4,0.000117888173340353
982,"LATP_009",4,0.000129047835697671
983,"LATP_006",4,2.6242218716499e-05
984,"LATP_011",4,2.72018138653962e-05
985,"DEG_823",6,0.019582443334607
986,"DEG_812",6,4.04255885433358e-08
987,"DEG_808",6,4.9436910898315e-08
988,"DEG_825",6,6.01456029913905e-06
989,"DEG_822",6,0.000208199262712094
991,"DEG_819",6,9.37427443370442e-06
993,"JLMA_001",2,2.17592412976586e-08
994,"LATP_007",2,5.67751441860054e-07
995,"DEG_811",2,0.00123519148453999
996,"DEG_814",2,9.98295135434812e-06
997,"SAV_001",2,3.12100592189113e-05
998,"DEG_824",2,0.00972272400333352
1001,"LATP_008",2,5.28370770883635e-05
1003,"DEG_863_S152",2,0.00283915449446326
1004,"DEG_840",3,8.47944625625985e-09
1005,"DEG_837",4,0.000208459754784229
1006,"DEG_833",2,0.00632299257263846
1007,"DEG_841",5,0.00875529824015164
1008,"DEG_832",2,0.0120602805286557
1009,"DEG_842",4,3.84447638113183e-06
1010,"DEG_831",5,0.0204552390749364
1011,"DEG_835",5,7.66167425357844e-05
1012,"DEG_834",5,0.00236796602894318
1013,"DEG_846",5,0.000713248875153227
1014,"DEG_845",6,0.000136888392264001
1015,"DEG_855",6,3.40421298927751e-08
1016,"DEG_856",2,8.38646140177701e-06
1021,"YAM_1000",7,4.50595116774366e-12
1022,"YAM_1001",7,0
1023,"YAM_1002",8,2.23646945407552e-09
1024,"YAM_1003",7,0
1025,"YAM_1004",7,8.88178419700125e-16
1026,"YAM_1005",8,0
1027,"YAM_1006",8,1.33226762955019e-15
1028,"YAM_1007",8,0
1029,"YAM_1008",8,0
1030,"YAM_1009",7,0
1031,"YAM_1010",7,0
1032,"YAM_1011",7,0
1033,"YAM_1012",8,1.93833837869306e-11
1034,"YAM_1013",8,6.48370246381091e-14
1035,"YAM_1014",7,0
1036,"YAM_1015",8,3.33066907387547e-15
1037,"YAM_1016",7,2.22044604925031e-16
1038,"YAM_1017",7,0
1039,"YAM_1018",7,0
1040,"YAM_1019",8,0
1041,"YAM_1020",7,0
1042,"YAM_1021",8,0
1043,"YAM_1022",7,0
1044,"YAM_1023",7,3.64552832365916e-12
1045,"YAM_1024",8,0
1046,"YAM_1025",8,1.42930112190243e-12
1047,"YAM_1026",8,1.52300394518079e-12
1048,"YAM_1027",7,0
1049,"YAM_1028",7,2.91100477056716e-13
1050,"YAM_1029",7,0
1051,"YAM_1030",7,2.22044604925031e-16
1052,"YAM_1031",7,4.44089209850063e-16
1053,"YAM_1032",8,4.44089209850063e-16
1054,"YAM_1033",7,5.08824760103721e-10
1055,"YAM_1034",7,1.13242748511766e-14
1056,"YAM_1035",7,0
1057,"YAM_1036",7,1.19904086659517e-14
1058,"YAM_1037",7,1.8637424936685e-10
1059,"YAM_1038",7,2.44249065417534e-14
1060,"YAM_1039",7,3.98401311940688e-11
1061,"YAM_1040",7,1.83689063959491e-10
1062,"YAM_1041",7,9.10382880192628e-15
1063,"YAM_1042",7,0
