"Collector.Collection.Number","Collector","Collection.Number","Longitude","Latitude","Altitude","Length.Lamina","Width.Lamina","Length.Synflorescence.Axis","Perimeter.Synflorescence.Axis","Number.Pairs.Sterile.Leaves.Per.Synflorescence","Number.Capitula.Per.Synflorescence","Length.Cyme.Peduncle","Diameter.Capitulum","Length.Sterile.Phyllary","Width.Sterile.Phyllary","Length.Ray.Flower.Corolla","Length.Disc.Flower.Corolla","Length.Disc.Flower.Tube","Type.Taxa","Cited.Cuatrecasas.Monograph.Taxa"
"DEG_832","Granados David","832",-74.427972,3.787222,3555,33.6666666666667,6.36666666666667,63,2,1,19.5,1.00333333333333,1.385,8.74333333333333,2.54333333333333,6.77666666666667,5.315,2.55,NA,NA
"DEG_842","Granados David","842",-74.334556,3.947972,3399,41.2666666666667,4.43333333333333,89.7,2.6,0,24.3333333333333,1.28,1.5375,12.5,3.74333333333333,6.71333333333333,5.80333333333333,1.73666666666667,NA,NA
"DEG_831","Granados David","831",-74.394278,3.901444,3541,45.9,8.16666666666667,100.25,3.65,3,18,1.80166666666667,1.6575,16.3,10.1666666666667,10.87,7.59333333333333,2.4,NA,NA
"DEG_835","Granados David","835",NA,NA,NA,53.0666666666667,8.1,90,3.35,1.5,19,5.03,1.8875,21.8466666666667,12.9566666666667,11.7733333333333,9.14333333333333,3.38,NA,NA
"DEG_834","Granados David","834",NA,NA,NA,46.7666666666667,7.16666666666667,92,3.4,3,12,4.87,1.8225,16.8533333333333,7.47,14.1966666666667,8.99333333333333,3.17333333333333,NA,NA
"DEG_846","Granados David","846",NA,NA,NA,50.6666666666667,10.4,70.5,2.93333333333333,3.33333333333333,11,3.70666666666667,2.06,14.54,9.74333333333333,13.98,7.72666666666667,1.71,NA,NA
"DEG_845","Granados David","845",NA,NA,NA,38.1333333333333,3.7,68.9,1.7,0,5,3.16666666666667,1.7875,16.64,9.86,13.73,7.56333333333333,2.73,NA,NA
"DEG_855","Granados David","855_S84",NA,NA,NA,40.4333333333333,3.93333333333333,69,3.5,0,9,3.56666666666667,2.9275,26.0133333333333,18.66,15.14,9.50666666666667,2.58666666666667,NA,NA
"DEG_856","Granados David","856",NA,NA,NA,27.8333333333333,3.09,56,2.3,1,12,2.26,1.545,10.0366666666667,5.13666666666667,9.56333333333333,6.99333333333333,1.59,NA,NA
"Grabandt & Idrobo_93","Grabandt & Idrobo","93",NA,NA,3340,26.8,1.5,83.4,2.5,3,25,1.82,2.81,NA,NA,NA,NA,NA,NA,NA
"Cuatrecasas_9555","Cuatrecasas","9555",NA,NA,3150,34.8,1.6,88.5,2.2,6,35,0.909,0.92975,NA,NA,NA,NA,NA,NA,"Espeletia.argentea.fma.phaneractis"
"Rangel & Guillot_1328","Rangel & Guillot","1328",NA,NA,3150,34.5,1.6,73.5,1.4,4.5,18,0.64,1.04,NA,NA,NA,NA,NA,NA,NA
"Velasquez_001","Velasquez","1",NA,NA,3200,31,1.305,79,1.3,2,21,1.43,1.085,NA,NA,NA,NA,NA,NA,NA
