"Collector.Collection.Number","Vivas.2","Phenotypic.Group"
1000,0,1
1001,0,1
1002,12,2
1003,5,2
1004,2,1
1005,0,1
1006,1,1
1007,8,2
1008,19,3
1009,23,3
1010,5,2
1011,1,1
1012,9,2
1013,1,1
1014,9,2
1015,4,2
1016,0,1
1017,7,2
1018,11,2
1019,0,1
1020,14,3
1021,0,1
1022,3,1
1023,0,1
1024,2,1
1025,1,1
1026,0,1
1027,5,2
1028,8,2
1029,1,1
1030,1,1
1031,1,1
1032,9,2
1033,5,2
1034,14,3
1035,9,2
1036,11,2
1037,4,2
1038,2,1
1039,6,2
1040,4,2
1041,3,1
1042,1,1
