"Collector.Collection.Number","Vivas.3","Phenotypic.Group"
1000,0,2
1001,0,2
1002,11,3
1003,2,2
1004,1,2
1005,0,2
1006,1,2
1007,8,1
1008,16,3
1009,21,3
1010,4,1
1011,1,2
1012,7,1
1013,1,2
1014,7,1
1015,4,1
1016,0,2
1017,7,1
1018,11,3
1019,0,2
1020,11,3
1021,0,2
1022,1,2
1023,0,2
1024,2,2
1025,0,2
1026,0,2
1027,5,1
1028,6,1
1029,0,2
1030,1,2
1031,1,2
1032,6,1
1033,3,2
1034,10,1
1035,9,1
1036,9,1
1037,2,2
1038,2,2
1039,4,1
1040,3,2
1041,2,2
1042,1,2
